id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
112,Kuwait 1GB,0,Middle East,2,1,7,liberation-mobile-7days-1gb,4.50,3.00,1.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:48,\N,1,0,
113,Argentina 1GB,0,LATAM,2,1,7,esim_1GB_7D_AR_V2,7.50,6.00,3.34,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,0,
114,Chad 1GB,0,Africa,2,1,7,first-well-7days-1gb,7.00,6.00,5.00,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:39,\N,1,0,
115,Czech Republic 1GB,0,Europe,2,1,7,esim_1GB_7D_CZ_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:41,\N,3,0,
116,Chile  1GB,0,LATAM,2,1,7,esim_1GB_7D_CL_V2,7.50,6.00,3.34,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:39,\N,3,0,
117,Brazil 1GB,0,LATAM,2,1,7,esim_1GB_7D_BR_V2,7.50,6.00,3.34,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:38,\N,3,0,
118,France 1GB,0,Europe,2,1,7,esim_1GB_7D_FR_V2,5.00,2.50,1.36,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:43,\N,3,0,
119,Bosnia and Herzegovina 1GB,0,Europe,2,1,7,bosher-7days-1gb,4.50,3.50,1.60,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:37,\N,1,0,
120,Belgium 1GB,0,Europe,2,1,7,esim_1GB_7D_BE_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:37,\N,3,0,
121,Gibraltar 1GB,0,Europe,2,1,7,gibnet-7days-1gb,4.50,3.50,2.60,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:43,\N,1,0,
