id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries,recharge
900,Armenia UNL 7D,0,Eastern Europe,2,Unlimited,7,esim_UL_7D_AM_V2,75,61,40.51,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
65,Aruba 1GB,0,Caribbean,2,1,7,noord-communications-7days-1gb,9.5,9,8.1,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:36,\N,1,,0
780,Asia 10GB,0,Asia,2,10,30,asialink-30days-10gb,37,25.75,14.5,0,0,1,2023-09-06 15:31:56,2024-04-09 16:49:36,\N,1,,0
530,Asia 10GB,0,Asia,2,10,30,esim_10GB_30D_RAS_V2,35,21,18.71,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:36,\N,3,,0
777,Asia 1GB,0,Asia,2,1,7,asialink-7days-1gb,5,3.35,1.7,0,0,1,2023-09-06 15:24:29,2024-04-09 16:49:36,\N,1,,0
149,Asia 1GB,0,Asia,2,1,7,esim_1GB_7D_RAS_V2,5,4,2.57,0,0,1,2023-06-24 13:26:02,2024-04-09 16:49:36,\N,3,,0
816,Asia 20 10GB,0,Oceania,2,10,30,JC180,40,35,29,0,0,1,2024-01-18 21:45:52,2024-04-09 16:49:36,\N,4,,0
798,Asia 20 1GB,0,Asia,2,1,7,JC183,6,4,2.9,0,0,1,2023-11-18 23:18:27,2024-04-09 16:49:36,\N,4,,0
817,Asia 20 20GB,0,Middle East,2,20,90,JC181,50,45,40,0,0,1,2024-01-18 21:53:17,2024-04-09 16:49:36,\N,4,,0
814,Asia 20 3GB,0,Asia,2,3,15,JC179,12,9,7.9,0,0,1,2024-01-18 21:22:51,2024-04-09 16:49:36,\N,4,,0
818,Asia 20 50GB,0,Middle East,2,50,180,JC182,120,100,90,0,0,1,2024-01-18 21:55:49,2024-04-09 16:49:36,\N,4,,0
815,Asia 20 5GB,0,Asia,2,5,30,JC178,20,18,15,0,0,1,2024-01-18 21:31:17,2024-04-09 16:49:36,\N,4,,0
540,Asia 20GB,0,Asia,2,20,30,esim_20GB_30D_RAS_V2,60,45,33.36,0,0,1,2023-06-24 13:26:03,2024-04-09 16:49:36,\N,3,,0
901,Asia 2GB,0,Asia,2,2,15,esim_2GB_15D_RAS_V2,10,7.5,4.66,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
778,Asia 3GB,0,Asia,2,3,30,asialink-30days-3gb,13,8.85,4.7,0,0,1,2023-09-06 15:27:31,2024-04-09 16:49:36,\N,1,,0
